"Iteration","WSS_y Monitor: WSS_y Monitor (N)"
1.0,3.37422474816512E-5
2.0,-0.010235533391659158
3.0,-0.020644729685791008
4.0,-0.02842653778695676
5.0,-0.030712694727543698
6.0,-0.031153636862102967
7.0,-0.03031023666371251
8.0,-0.02931485834788352
9.0,-0.027579719223290913
10.0,-0.026621520496124238
11.0,-0.025787927521495013
12.0,-0.025081969200328787
13.0,-0.02473533004395865
14.0,-0.024656191592884107
15.0,-0.024632418311134927
16.0,-0.02490706182410988
17.0,-0.02522373579389888
18.0,-0.02546587582433101
19.0,-0.025750366852300113
20.0,-0.025993095364177845
21.0,-0.026220183109370764
22.0,-0.026435559949929133
23.0,-0.026610702465414374
24.0,-0.026745410156272853
25.0,-0.026857592986650074
26.0,-0.02695790945743954
27.0,-0.027042245415807513
28.0,-0.02711819427356081
29.0,-0.027185518275969357
30.0,-0.027248835290312263
31.0,-0.027309351721263225
32.0,-0.02736689093845547
33.0,-0.02742104385305849
34.0,-0.027471129992404936
35.0,-0.02751601783923786
36.0,-0.027559029079327342
37.0,-0.027596867841932837
38.0,-0.027630143628883268
39.0,-0.02765704332938003
40.0,-0.027682632560890888
41.0,-0.027704361459759016
42.0,-0.027725158527727275
43.0,-0.027744121597326334
44.0,-0.02776065387642377
45.0,-0.027774812143595045
46.0,-0.027786819608299155
47.0,-0.027796924121817574
48.0,-0.027805372308059833
49.0,-0.027812474912013704
50.0,-0.027818363229105834
51.0,-0.027823173233797648
52.0,-0.027827047951119076
53.0,-0.027830130706483183
54.0,-0.027832589552123393
55.0,-0.027834494961487797
56.0,-0.027835952738065942
57.0,-0.02783706731361028
58.0,-0.027837900656354636
59.0,-0.02783849013376664
60.0,-0.027838873641886593
61.0,-0.027839091564056773
62.0,-0.027839158340500658
63.0,-0.02783916389409432
