"Iteration","WSS-y Monitor: WSS-y Monitor (N)"
1.0,2.1045610554629532E-4
2.0,-0.1433510824891768
3.0,-0.09398637229956483
4.0,-0.06605503299631944
5.0,-0.056961310488367174
6.0,-0.053406459640189564
7.0,-0.049470958741915816
8.0,-0.04690779825888868
9.0,-0.04477602810717396
10.0,-0.04262450995762514
11.0,-0.04070678996165402
12.0,-0.038971049651327395
13.0,-0.03731606194782725
14.0,-0.03587476742810641
15.0,-0.034579708130253836
16.0,-0.03343616222001545
17.0,-0.032441438575087904
18.0,-0.03156709834435372
19.0,-0.030764325707683803
20.0,-0.030046334437263452
21.0,-0.029400970544982318
22.0,-0.02879732894437964
23.0,-0.028219728683014665
24.0,-0.0276594128543912
25.0,-0.026924514295154786
26.0,-0.026495254487818084
27.0,-0.026023196202973057
28.0,-0.02548747220985038
29.0,-0.025111448079824076
30.0,-0.024728465694661077
31.0,-0.024366609198580094
32.0,-0.024025895993403573
33.0,-0.023707105407883688
34.0,-0.02339850820500696
35.0,-0.023117496339677145
36.0,-0.022855209452253937
37.0,-0.022609711310750256
38.0,-0.022379616608807443
39.0,-0.02216768443999798
40.0,-0.02197584724047069
41.0,-0.021795510678214988
42.0,-0.021627034786189766
43.0,-0.021470928745523074
44.0,-0.02132552328119127
45.0,-0.021192162278826848
46.0,-0.021069453836985542
47.0,-0.02095686566736827
48.0,-0.020853318332949507
49.0,-0.020757922968062167
50.0,-0.020669974146106503
51.0,-0.02058890811876423
52.0,-0.020514141343309807
53.0,-0.020444877302919058
54.0,-0.02037942515773684
55.0,-0.020318967754882
56.0,-0.020262554918340753
57.0,-0.02020976193349242
58.0,-0.020159993905237643
59.0,-0.02011289481940614
60.0,-0.020068407573862784
61.0,-0.02002581003269343
62.0,-0.019985040090851922
63.0,-0.019945799090731783
64.0,-0.01990807454002854
65.0,-0.019871697366404692
66.0,-0.01983661349125852
67.0,-0.019802720746508736
68.0,-0.019769927101181597
69.0,-0.019738171085548484
70.0,-0.019707427387072374
71.0,-0.01967766334557712
72.0,-0.01964884554941538
73.0,-0.01962078774630807
74.0,-0.019593792079860974
75.0,-0.019567690841996097
76.0,-0.019542470896595346
77.0,-0.019518109683120156
78.0,-0.019494641826882535
79.0,-0.019472157810701288
80.0,-0.019450741207159856
81.0,-0.019430327658435626
82.0,-0.019410943956068363
83.0,-0.019392560981867556
84.0,-0.019375258492682807
85.0,-0.019359063657749104
86.0,-0.019343966470110687
87.0,-0.019329936912026443
88.0,-0.019316997957981336
89.0,-0.01930529243340047
90.0,-0.019294614989575347
91.0,-0.019285078286874216
92.0,-0.019276636559469238
93.0,-0.01926926590507265
94.0,-0.01926292453391997
95.0,-0.01925758850389321
96.0,-0.01925328301721565
97.0,-0.0192499050190547
98.0,-0.019247418202282214
99.0,-0.019245764230786198
100.0,-0.019244904651295604
101.0,-0.019244776963190522
102.0,-0.019245338122626136
103.0,-0.019246495614298864
104.0,-0.0192482031373601
105.0,-0.01925040424618903
106.0,-0.019253050689414748
107.0,-0.01925607764205342
108.0,-0.019259448636016384
109.0,-0.019263116065534575
110.0,-0.019267030066581616
111.0,-0.019271152109597896
112.0,-0.019275440084422227
113.0,-0.01927985246619726
114.0,-0.019284356739644962
115.0,-0.01928892397978431
116.0,-0.019293523994874138
117.0,-0.01929812891426665
118.0,-0.019302715525340474
119.0,-0.01930726183313424
120.0,-0.019311751194756324
121.0,-0.0193161685939349
122.0,-0.019320497119817034
123.0,-0.019324724440990492
124.0,-0.019328841204609943
125.0,-0.019332835717416168
126.0,-0.019336702093509055
127.0,-0.019340436656049186
128.0,-0.019344036054561118
129.0,-0.01934750115112702
130.0,-0.019350830739983286
131.0,-0.019354025212313154
132.0,-0.01935708564612932
133.0,-0.019360013484431025
134.0,-0.019362810740317423
135.0,-0.019365481607688747
136.0,-0.01936802976760626
137.0,-0.01937045734892056
138.0,-0.019372767049577612
139.0,-0.019374962801248757
140.0,-0.019377048623028244
141.0,-0.0193790290742671
142.0,-0.019380907933180962
143.0,-0.019382689125687448
144.0,-0.019384376729818742
145.0,-0.019385974865804904
146.0,-0.01938748767138709
147.0,-0.019388918893595314
148.0,-0.019390272370127932
149.0,-0.019391551767366993
150.0,-0.019392760420294034
151.0,-0.01939390188117091
152.0,-0.019394979574837875
153.0,-0.01939599690483289
154.0,-0.01939695683933988
155.0,-0.019397862368432658
156.0,-0.019398716299955477
157.0,-0.019399521367758278
158.0,-0.019400280222722707
159.0,-0.019400995353450794
160.0,-0.019401669139875094
161.0,-0.01940230380979503
162.0,-0.01940290145441557
163.0,-0.01940346404020801
